"Part";"Value";"Device";"Package";"Description";"SORT";
"ATTACK";"100k";"RESISTOR_VARIABLE9MM_POT";"POTENTIOMETER_9MM";"Pot";"8";
"C1";"22p";"CAPACITOR-USC0805";"C0805";"Capacitor";"3";
"C2";"22p";"CAPACITOR-USC0805";"C0805";"Capacitor";"3";
"C3";"100nF";"CAPACITOR-USC0805";"C0805";"Capacitor";"3";
"C4";"10u";"CAPACITOR_POL-US153CLV-0505";"153CLV-0505";"Electro Capacitor";"3";
"C5";"10u";"CAPACITOR_POL-US153CLV-0505";"153CLV-0505";"Electro Capacitor";"3";
"C7";"10u";"CAPACITOR_POL-US153CLV-0505";"153CLV-0505";"Electro Capacitor";"3";
"C8";"100nF";"CAPACITOR-USC0805";"C0805";"Capacitor";"3";
"C9";"100nF";"CAPACITOR-USC0805";"C0805";"Capacitor";"3";
"C10";"100nF";"CAPACITOR-USC0805";"C0805";"Capacitor";"3";
"C11";"100nF";"CAPACITOR-USC0805";"C0805";"Capacitor";"3";
"C12";"100nF";"CAPACITOR-USC0805";"C0805";"Capacitor";"3";
"D1";"STTH102A";"DIODESMA";"SMADIODE";"Diode";"3.9";
"D2";"STTH102A";"DIODESMA";"SMADIODE";"Diode";"3.9";
"DECAY";"100k";"RESISTOR_VARIABLE9MM_POT";"POTENTIOMETER_9MM";"Pot";"8";
"IC2";"OPAMP_DUALD";"OPAMP_DUALD";"SO08";"Dual Op Amp";"4.5";
"IC3";"MCP4921";"DAC_SINGLE_12B_MCP4921";"SOIC8";"12bit DAC";"4";
"IC4";"ATMEGA328P";"MICROPROCESSOR_ATMEGA328_SMT";"TQFP32-08";"32-Pin ATMEGA328";"4";
"ISP1";"HEADER2X3-6";"HEADER2X3-6";"AVRISP";"AVR ISP Header";"7";
"JP1";"HEADER2X8";"HEADER2X8";"POWER_SHROUDED";"16 Pin Header 2x8";"7";
"MODESW";"ON_OFF_ON";"SWITCH_TOGGLE_SPDT";"TOGGLE_SW";"On-Off-On Switch";"9";
"OUTPUT";"SOCKET_MONO_3.5MMPJ301M-12";"SOCKET_MONO_3.5MMPJ301M-12";"PJ301M-12";"3.5 mm Jack Socket";"8";
"Q1";"20MHz";"CRYSTALHC49UP";"HC49UP";"Crystal";"5";
"R1";"1k6";"RESISTOR_USR0805";"R0805";"Resistor";"2";
"R4";"330R";"RESISTOR_USR0805";"R0805";"Resistor";"2";
"R5";"10k";"RESISTOR_USR0805";"R0805";"Resistor";"2";
"R6";"100k";"RESISTOR_USR0805";"R0805";"Resistor";"2";
"R7";"1M";"RESISTOR_USR0805";"R0805";"Resistor";"2";
"R8";"1k";"RESISTOR_USR0805";"R0805";"Resistor";"2";
"R9";"10k";"RESISTOR_USR0805";"R0805";"Resistor";"2";
"R10";"1k";"RESISTOR_USR0805";"R0805";"Resistor";"2";
"R11";"100k";"RESISTOR_USR0805";"R0805";"Resistor";"2";
"R12";"100k";"RESISTOR_USR0805";"R0805";"Resistor";"2";
"RELEASE";"100k";"RESISTOR_VARIABLE9MM_POT";"POTENTIOMETER_9MM";"Pot";"8";
"SUSTAIN";"100k";"RESISTOR_VARIABLE9MM_POT";"POTENTIOMETER_9MM";"Pot";"8";
"T1";"MMBT2222A";"TRANSISTOR_NPNMMBT2222A";"SOT23";"Generic NPN BJT";"4";
"TRIGATEIN";"SOCKET_MONO_3.5MMPJ301M-12";"SOCKET_MONO_3.5MMPJ301M-12";"PJ301M-12";"3.5 mm Jack Socket";"8";
"TRIGGER";"PB6149L-5";"SWITCH_PUSHBUTTON_LED";"PB6149L";"Pushbutton LED";"9";
