"Library","Qty","Parts","Description","Value","Package","SORT",
"GMSN","5","2POLE, 4POLE, COF_CV, IN1, IN2","3.5 mm Jack Socket","PJ301M-12","PJ301M-12","8",
"GMSN","8","C9, C10, C11, C12, C14, C15, C16, C17","Capacitor","100nF","C0805","3",
"GMSN","4","C4, C5, C6, C7","Capacitor","220p","C050-045X075","5",
"GMSN","1","C3","Capacitor","22pF","C0805","3",
"GMSN","2","D1, D2","Diode","STTH102A","SMADIODE","3.9",
"GMSN","4","C1, C2, C8, C13","Electro Capacitor","10uF","153CLV-0505","3",
"GMSN","1","JP1","Header 5x2","HEADER2X5SHD","2X5-SHROUDED","7",
"GMSN","2","IC1, IC2","LM13700 OTA","LM13700","SOIC-16_BLANK","4.5",
"GMSN","2","IC3, IC4","OP AMP","TL074","SO14","4.5",
"GMSN","1","T1","PNP Matched Transistor Pair","DMMT3906W","TRANS_PAIR","4.1",
"GMSN","2","TR1, TR2","Pot","100k","TRIMMER_TH","7",
"GMSN","2","IN1POT, IN1POT1","Pot","10k","POT_9MM_BLUE_KNOB","8",
"GMSN","1","CV_AT","Pot","10k","POT_9MM_GREEN_KNOB","8",
"GMSN","1","COF","Pot","10k","POT_9MM_RED_KNOB","8",
"GMSN","1","Q","Pot","10k","POT_9MM_YELLOW_KNOB","8",
"GMSN","9","R8, R10, R13, R15, R18, R26, R30, R31, R34","Resistor","100k","R0805","2",
"GMSN","18","R1, R3, R4, R14, R19, R22, R23, R24, R25, R32, R35, R37, R38, R39, R40, R41, R43, R44","Resistor","10k","R0805","2",
"GMSN","8","R9, R12, R16, R17, R27, R29, R33, R36","Resistor","220R","R0805","2",
"GMSN","1","R6","Resistor","2M","R0805","2",
"GMSN","1","R7","Resistor","2k2","R0805","2",
"GMSN","4","R11, R20, R28, R42","Resistor","33k","R0805","2",
"GMSN","1","R2","Resistor","390R","R0805","2",
"GMSN","1","R21","Resistor","75k","R0805","2",
"GMSN","1","R5","Resistor","Tempco 2k","0207/8.5","2",
