"Library","Qty","Parts","Description","Value","Package","SORT",
"GMSN","9","1V/OCT, LIN, MIX, PULSE, PWM_IN, SAW, SINE, SYNC, TRI","3.5 mm Jack Socket","PJ301M-12","PJ301M-12","8",
"GMSN","14","C1, C2, C5, C6, C9, C10, C11, C12, C15, C16, C18, C19, C20, C21","Capacitor","100nF","C0805","3",
"GMSN","3","C3, C4, C17","Capacitor","100pF","C0805","3",
"GMSN","1","C13","Capacitor","10nF","C0805","3",
"GMSN","1","C14","Capacitor","1nF","C0805","3",
"GMSN","1","C8","Capacitor","22pF","C0805","3",
"GMSN","2","D3, D4","Diode","1N914","SOD-323F","3.9",
"GMSN","2","D1, D2","Diode","STTH102A","SMADIODE","3.9",
"GMSN","7","IC1, IC2, IC3, IC4, IC5, IC6, IC7","Dual Op Amp","TL072","SO08","4.5",
"GMSN","2","CP1, CP2","Electro Capacitor","10uF","153CLV-0505","3",
"GMSN","1","JP1","Header 5x2","HEADER2X5SHD","2X5-SHROUDED","7",
"GMSN","1","T1","N Channel JFET","MMBFJ309","N_CHN","4",
"GMSN","2","TP1, TP2","NPN Transistor Matched Pair","DMMT3904W-7-F","TRANS_PAIR","4",
"GMSN","1","C7","Poly Film Capacitor","2.2nF","POLY_CAP","7",
"GMSN","1","TR1","Pot","100R","TRIMMER_TH","7",
"GMSN","4","TR2, TR3, TR4, TR5","Pot","100k","TRIMMER_TH","7",
"GMSN","4","PULSE_MIX, SAW_MIX, SINE_MIX, TRI_MIX","Pot","B100k","POT_9MM_BLUE_KNOB","8",
"GMSN","2","FM_LEVEL, PWM_LEVEL","Pot","B100k","POT_9MM_GREEN_KNOB","8",
"GMSN","1","COARSE","Pot","B100k","POT_9MM_RED_KNOB","8",
"GMSN","1","FINE","Pot","B100k","POT_9MM_RED_MXR_KNOB","8",
"GMSN","1","PULSE_WIDTH","Pot","B100k","POT_9MM_YELLOW_KNOB","8",
"GMSN","1","R47","Resistor","0R","R0805","2",
"GMSN","4","R3, R16, R30, R45","Resistor","100k","R0805","2",
"GMSN","14","R14, R20, R23, R28, R38, R40, R41, R43, R44, R48, R49, R50, R51, R52","Resistor","10k","R0805","2",
"GMSN","1","R9","Resistor","120k","R0805","2",
"GMSN","1","R1","Resistor","150k","R0805","2",
"GMSN","2","R26, R32","Resistor","19k1","R0805","2",
"GMSN","2","R33, R35","Resistor","1k3","R0805","2",
"GMSN","2","R21, R22","Resistor","1k5","R0805","2",
"GMSN","2","R24, R25","Resistor","22k","R0805","2",
"GMSN","1","R31","Resistor","27k","R0805","2",
"GMSN","2","R4, R19","Resistor","2M","R0805","2",
"GMSN","1","R2","Resistor","2M2","R0805","2",
"GMSN","1","TC1","Resistor","2k","0207/8.5","2",
"GMSN","5","R27, R29, R34, R37, R42","Resistor","2k","R0805","2",
"GMSN","1","R18","Resistor","2k2","R0805","2",
"GMSN","1","R6","Resistor","390R","R0805","2",
"GMSN","2","R10, R17","Resistor","39k","R0805","2",
"GMSN","2","R8, R36","Resistor","3k3","R0805","2",
"GMSN","1","R39","Resistor","402R","R0805","2",
"GMSN","1","R46","Resistor","50k","R0805","2",
"GMSN","1","R5","Resistor","560k","R0805","2",
"GMSN","1","R15","Resistor","56k","R0805","2",
"GMSN","1","R13","Resistor","5k6","R0805","2",
"GMSN","1","R11","Resistor","680R","R0805","2",
"GMSN","1","R7","Resistor","87k","R0805","2",
"GMSN","1","R12","Resistor","9k1","R0805","2",
"GMSN","1","IC8","Shunt Voltage Reference","LM4040A50IDBZT","SOT95P237X112-3N","4",
